# timestamp, x, y, z, rx, ry, rz
0,4.03112887415000,-0.00000000000000,0.00000000000000,-1.20919957615615,-1.20919957615614,1.20919957615614
1000000,4.03104899229799,-0.02532816110705,0.00158302056640,-1.21245368641281,-1.20485944824349,1.20438639392251
2000000,4.03080934995697,-0.05065531058413,0.00316604088868,-1.21569627804834,-1.20051457771666,1.19957206584728
3000000,4.03040995677181,-0.07598043684230,0.00474906072272,-1.21892735765476,-1.19616497469645,1.19475660547015
4000000,4.02985082881685,-0.10130252837467,0.00633207982439,-1.22214693173806,-1.19181064927302,1.18994002628214
5000000,4.02913198859525,-0.12662057379738,0.00791509794957,-1.22535500671848,-1.18745161150616,1.18512234172608
6000000,4.02825346503808,-0.15193356189063,0.00949811485415,-1.22855158893070,-1.18308787142570,1.18030356519700
7000000,4.02721529350312,-0.17724048163969,0.01108113029400,-1.23173668462411,-1.17871943903181,1.17548371004255
8000000,4.02601751577341,-0.20254032227592,0.01266414402500,-1.23491029996301,-1.17434632429534,1.17066278956341
9000000,4.02466018005560,-0.22783207331767,0.01424715580303,-1.23807244102690,-1.16996853715820,1.16584081701368
10000000,4.02314334097788,-0.25311472461136,0.01583016538396,-1.24122311381064,-1.16558608753361,1.16101780560134
11000000,4.02146705958786,-0.27838726637235,0.01741317252369,-1.24436232422477,-1.16119898530654,1.15619376848861
12000000,4.01963140334999,-0.30364868922594,0.01899617697809,-1.24749007809563,-1.15680724033393,1.15136871879238
13000000,4.01763644614286,-0.32889798424826,0.02057917850304,-1.25060638116570,-1.15241086244511,1.14654266958458
14000000,4.01548226825614,-0.35413414300722,0.02216217685442,-1.25371123909373,-1.14800986144206,1.14171563389260
15000000,4.01316895638734,-0.37935615760333,0.02374517178812,-1.25680465745505,-1.14360424709980,1.13688762469969
16000000,4.01069660363824,-0.40456302071065,0.02532816306001,-1.25988664174172,-1.13919402916665,1.13205865494534
17000000,4.00806530951111,-0.42975372561758,0.02691115042598,-1.26295719736280,-1.13477921736459,1.12722873752566
18000000,4.00527517990463,-0.45492726626769,0.02849413364191,-1.26601632964456,-1.13035982138960,1.12239788529381
19000000,4.00232632710956,-0.48008263730052,0.03007711246369,-1.26906404383070,-1.12593585091191,1.11756611106032
20000000,3.99921886980417,-0.50521883409231,0.03166008664720,-1.27210034508255,-1.12150731557640,1.11273342759353
21000000,3.99595293304940,-0.53033485279678,0.03324305594832,-1.27512523847931,-1.11707422500285,1.10789984761995
22000000,3.99252864828372,-0.55542969038579,0.03482602012295,-1.27813872901827,-1.11263658878631,1.10306538382464
23000000,3.98894615331778,-0.58050234469003,0.03640897892697,-1.28114082161499,-1.10819441649735,1.09823004885159
24000000,3.98520559232881,-0.60555181443962,0.03799193211627,-1.28413152110357,-1.10374771768245,1.09339385530406
25000000,3.98130711585467,-0.63057709930474,0.03957487944674,-1.28711083223678,-1.09929650186424,1.08855681574501
26000000,3.97725088078776,-0.65557719993618,0.04115782067426,-1.29007875968637,-1.09484077854185,1.08371894269744
27000000,3.97303705036858,-0.68055111800583,0.04274075555472,-1.29303530804318,-1.09038055719120,1.07888024864473
28000000,3.96866579417907,-0.70549785624716,0.04432368384403,-1.29598048181744,-1.08591584726532,1.07404074603105
29000000,3.96413728813569,-0.73041641849568,0.04590660529807,-1.29891428543889,-1.08144665819463,1.06920044726172
30000000,3.95945171448223,-0.75530580972928,0.04748951967273,-1.30183672325704,-1.07697299938728,1.06435936470352
31000000,3.95460926178238,-0.78016503610860,0.04907242672391,-1.30474779954138,-1.07249488022943,1.05951751068510
32000000,3.94961012491198,-0.80499310501730,0.05065532620750,-1.30764751848154,-1.06801231008553,1.05467489749733
33000000,3.94445450505116,-0.82978902510229,0.05223821787941,-1.31053588418752,-1.06352529829867,1.04983153739363
34000000,3.93914260967602,-0.85455180631395,0.05382110149553,-1.31341290068988,-1.05903385419084,1.04498744259034
35000000,3.93367465255022,-0.87928045994622,0.05540397681176,-1.31627857193995,-1.05453798706323,1.04014262526706
36000000,3.92805085371620,-0.90397399867672,0.05698684358400,-1.31913290181001,-1.05003770619655,1.03529709756702
37000000,3.92227143948628,-0.92863143660674,0.05856970156815,-1.32197589409350,-1.04553302085128,1.03045087159739
38000000,3.91633664243331,-0.95325178930120,0.06015255052011,-1.32480755250522,-1.04102394026802,1.02560395942966
39000000,3.91024670138126,-0.97783407382858,0.06173539019580,-1.32762788068149,-1.03651047366773,1.02075637309996
40000000,3.90400186139541,-1.00237730880071,0.06331822035112,-1.33043688218038,-1.03199263025205,1.01590812460941
41000000,3.89760237377238,-1.02688051441264,0.06490104074197,-1.33323456048188,-1.02747041920357,1.01105922592444
42000000,3.89104849602985,-1.05134271248219,0.06648385112426,-1.33602091898811,-1.02294384968616,1.00620968897717
43000000,3.88434049189603,-1.07576292648977,0.06806665125391,-1.33879596102348,-1.01841293084518,1.00135952566568
44000000,3.87747863129893,-1.10014018161786,0.06964944088682,-1.34155968983489,-1.01387767180786,0.99650874785440
45000000,3.87046319035530,-1.12447350479052,0.07123221977892,-1.34431210859192,-1.00933808168349,0.99165736737442
46000000,3.86329445135938,-1.14876192471285,0.07281498768611,-1.34705322038702,-1.00479416956378,0.98680539602380
47000000,3.85597270277134,-1.17300447191034,0.07439774436432,-1.34978302823567,-1.00024594452311,0.98195284556792
48000000,3.84849823920554,-1.19720017876815,0.07598048956946,-1.35250153507659,-0.99569341561879,0.97709972773982
49000000,3.84087136141848,-1.22134807957032,0.07756322305745,-1.35520874377189,-0.99113659189139,0.97224605424047
